Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
FIXED for  Medford, Massachusetts 	 42.418333333333 , -71.106666666667 	 42.418333333333 , -71.106666666667
FIXED for  Medford, Minnesota 	 44.172777777778 , -93.246944444444 	 44.172777777778 , -93.246944444444
FIXED for  Medford, New Jersey 	 39.8643 , -74.8225 	 39.8643 , -74.8225
FIXED for  Medford, New York 	 40.8178 , -72.9861 	 40.8178 , -72.9861
FIXED for  Medford, Oklahoma 	 36.806388888889 , -97.736944444444 	 36.806388888889 , -97.736944444444
FIXED for  Medford, Wisconsin 	 45.138055555556 , -90.345277777778 	 45.138055555556 , -90.345277777778
FIXED for  Medina 	 24.466666666667 , 39.6 	 24.466666666667 , 39.6
FIXED for  Medina, Minas Gerais 	 -16.222777777778 , -41.476944444444 	 -16.222777777778 , -41.476944444444
FIXED for  Medina, Ohio 	 41.13583 , -81.86389 	 41.13583 , -81.86389
FIXED for  Medina, Outagamie County, Wisconsin 	 44.2728 , -88.6378 	 44.2728 , -88.6378
FIXED for  Medina, Washington 	 47.62639 , -122.23278 	 47.62639 , -122.23278
FIXED for  Mega, Ethiopia 	 4.01667 , 38.25 	 4.01667 , 38.25
FIXED for  Melrose, Florida 	 29.716666666667 , -82.05 	 29.716666666667 , -82.05
FIXED for  Melrose, Massachusetts 	 42.458333333333 , -71.066666666667 	 42.458333333333 , -71.066666666667
FIXED for  Melrose, Minnesota 	 45.67469 , -94.80752 	 45.67469 , -94.80752
FIXED for  Melrose, Montana 	 45.6319 , -112.684 	 45.6319 , -112.684
FIXED for  Melrose, Scottish Borders 	 55.583333333333 , -2.7166666666667 	 55.583333333333 , -2.7166666666667
FIXED for  Memphis, Missouri 	 40.46083 , -92.16972 	 40.46083 , -92.16972
FIXED for  Memphis, New York 	 43.086666666667 , -76.377777777778 	 43.086666666667 , -76.377777777778
FIXED for  Memphis, Texas 	 34.72667 , -100.54139 	 34.72667 , -100.54139
FIXED for  Mena, Arkansas 	 34.582222222222 , -94.239166666667 	 34.582222222222 , -94.239166666667
FIXED for  Mendez, Cavite 	 14.133333333333 , 120.9 	 14.133333333333 , 120.9
FIXED for  Menge, Ethiopia 	 10.3833 , 34.7667 	 10.3833 , 34.7667
FIXED for  Mengen, Bolu 	 40.938611111111 , 32.074166666667 	 40.938611111111 , 32.074166666667
FIXED for  Mercedes, Buenos Aires 	 -34.65 , -59.433333333333 	 -34.65 , -59.433333333333
FIXED for  Mercedes, Camarines Norte 	 14.1093 , 123.0109 	 14.1093 , 123.0109
FIXED for  Mercedes, Texas 	 26.14917 , -97.91861 	 26.14917 , -97.91861
FIXED for  Mere, Belgium 	 50.9228 , 3.9714 	 50.9228 , 3.9714
FIXED for  Mere, Wiltshire 	 51.09 , -2.266 	 51.09 , -2.266
FIXED for  Meridian, Idaho 	 43.614166666667 , -116.39888888889 	 43.614166666667 , -116.39888888889
FIXED for  Meridian, Logan County, Oklahoma 	 35.843611111111 , -97.246666666667 	 35.843611111111 , -97.246666666667
FIXED for  Meridian, Mississippi 	 32.374722222222 , -88.704166666667 	 32.374722222222 , -88.704166666667
FIXED for  Meridian, New York 	 43.1636 , -76.535 	 43.1636 , -76.535
FIXED for  Mesa, Arizona 	 33.415 , -111.83138888889 	 33.415 , -111.83138888889
FIXED for  Mesa, California 	 37.421666666667 , -118.54416666667 	 37.421666666667 , -118.54416666667
FIXED for  Mesa, Washington 	 46.576944444444 , -119.0025 	 46.576944444444 , -119.0025
FIXED for  Meta, Missouri 	 38.31222 , -92.16778 	 38.31222 , -92.16778
FIXED for  Miami 	 25.783333333333 , -80.216666666667 	 25.783333333333 , -80.216666666667
FIXED for  Miami, Arizona 	 33.39922 , -110.86872 	 33.39922 , -110.86872
FIXED for  Miami, Manitoba 	 49.3711 , -98.2439 	 49.3711 , -98.2439
FIXED for  Miami, Oklahoma 	 36.883611111111 , -94.876111111111 	 36.883611111111 , -94.876111111111
FIXED for  Miami, Queensland 	 -28.0672 , 153.437 	 -28.0672 , 153.437
FIXED for  Middleton, Greater Manchester 	 53.5552 , -2.18795 	 53.5552 , -2.18795
FIXED for  Middleton, Idaho 	 43.7068282 , -116.6201357 	 43.7068282 , -116.6201357
FIXED for  Middleton, Leeds 	 53.7428 , -1.5526 	 53.7428 , -1.5526
FIXED for  Middleton, Milton Keynes 	 52.0422 , -0.7047 	 52.0422 , -0.7047
FIXED for  Middleton, Mississippi 	 32.1639 , -88.6122 	 32.1639 , -88.6122
FIXED for  Middleton, New Hampshire 	 43.478055555556 , -71.071388888889 	 43.478055555556 , -71.071388888889
FIXED for  Middleton, Norfolk 	 52.717 , 0.467 	 52.717 , 0.467
FIXED for  Middleton, Nova Scotia 	 44.9418 , -65.0686 	 44.9418 , -65.0686
FIXED for  Middleton, South Australia 	 -35.5 , 138.7 	 -35.5 , 138.7
FIXED for  Middleton, Tennessee 	 35.058888888889 , -88.891666666667 	 35.058888888889 , -88.891666666667
FIXED for  Middleton, Warwickshire 	 52.582 , -1.74 	 52.582 , -1.74
FIXED for  Middleton, Wisconsin 	 43.060277777778 , -89.571666666667 	 43.060277777778 , -89.571666666667
FIXED for  Mikhaylovka, Volgograd Oblast 	 50.066666666667 , 43.233333333333 	 50.066666666667 , 43.233333333333
FIXED for  Milan, Indiana 	 39.12117 , -85.13135 	 39.12117 , -85.13135
FIXED for  Milan, Michigan 	 42.083333333333 , -83.683333333333 	 42.083333333333 , -83.683333333333
FIXED for  Milan, Missouri 	 40.20139 , -93.125 	 40.20139 , -93.125
FIXED for  Milan, New Hampshire 	 44.573333333333 , -71.185 	 44.573333333333 , -71.185
FIXED for  Milan, New Mexico 	 35.17694 , -107.89528 	 35.17694 , -107.89528
FIXED for  Milan, New York 	 41.953333333333 , -73.791944444444 	 41.953333333333 , -73.791944444444
FIXED for  Milan, Ohio 	 41.29306 , -82.60111 	 41.29306 , -82.60111
FIXED for  Milan, Tennessee 	 35.915833333333 , -88.758055555556 	 35.915833333333 , -88.758055555556
FIXED for  Milas 	 37.326944444444 , 27.795277777778 	 37.326944444444 , 27.795277777778
FIXED for  Milford, California 	 40.171388888889 , -120.3725 	 40.171388888889 , -120.3725
FIXED for  Milford, Connecticut 	 41.224166666667 , -73.059722222222 	 41.224166666667 , -73.059722222222
FIXED for  Milford, County Donegal 	 55.087898 , -7.698498 	 55.087898 , -7.698498
FIXED for  Milford, Delaware 	 38.9125 , -75.429166666667 	 38.9125 , -75.429166666667
FIXED for  Milford, Illinois 	 40.628333333333 , -87.696111111111 	 40.628333333333 , -87.696111111111
FIXED for  Milford, Iowa 	 43.326944444444 , -95.150833333333 	 43.326944444444 , -95.150833333333
FIXED for  Milford, Kosciusko County, Indiana 	 41.409166666667 , -85.846944444444 	 41.409166666667 , -85.846944444444
FIXED for  Milford, Maine 	 44.95 , -68.64 	 44.95 , -68.64
FIXED for  Milford, Massachusetts 	 42.13982 , -71.51617 	 42.13982 , -71.51617
FIXED for  Milford, Michigan 	 42.593611111111 , -83.599444444444 	 42.593611111111 , -83.599444444444
FIXED for  Milford, New Hampshire 	 42.835277777778 , -71.648888888889 	 42.835277777778 , -71.648888888889
FIXED for  Milford, New Jersey 	 40.56944 , -75.09389 	 40.56944 , -75.09389
FIXED for  Milford, Ohio 	 39.17472 , -84.28417 	 39.17472 , -84.28417
FIXED for  Milford, Pennsylvania 	 41.32232 , -74.80239 	 41.32232 , -74.80239
FIXED for  Milford, Surrey 	 51.1704 , -0.6525 	 51.1704 , -0.6525
FIXED for  Milford, Texas 	 32.1246 , -96.94528 	 32.1246 , -96.94528
FIXED for  Milford, Utah 	 38.394722222222 , -113.01388888889 	 38.394722222222 , -113.01388888889
FIXED for  Milton, Cambridgeshire 	 52.243469444444 , 0.16146944444444 	 52.243469444444 , 0.16146944444444
FIXED for  Milton, Cherwell 	 52.011 , -1.344 	 52.011 , -1.344
FIXED for  Milton, Delaware 	 38.77761 , -75.30991 	 38.77761 , -75.30991
FIXED for  Milton, Florida 	 30.630277777778 , -87.046388888889 	 30.630277777778 , -87.046388888889
FIXED for  Milton, Georgia 	 34.1322 , -84.3007 	 34.1322 , -84.3007
FIXED for  Milton, Glasgow 	 55.8971 , -4.25332 	 55.8971 , -4.25332
FIXED for  Milton, Kentucky 	 38.70944 , -85.37389 	 38.70944 , -85.37389
FIXED for  Milton, Louisiana 	 30.10381 , -92.07651 	 30.10381 , -92.07651
FIXED for  Milton, New Hampshire 	 43.409722222222 , -70.988333333333 	 43.409722222222 , -70.988333333333
FIXED for  Milton, New South Wales 	 -35.3167 , 150.433 	 -35.3167 , 150.433
FIXED for  Milton, North Carolina 	 36.536666666667 , -79.208055555556 	 36.536666666667 , -79.208055555556
FIXED for  Milton, Ontario 	 43.508333333333 , -79.883333333333 	 43.508333333333 , -79.883333333333
FIXED for  Milton, Pennsylvania 	 41.01203 , -76.84774 	 41.01203 , -76.84774
FIXED for  Milton, Queensland 	 -27.4705 , 153.0047 	 -27.4705 , 153.0047
FIXED for  Milton, Ulster County, New York 	 41.6589 , -73.96 	 41.6589 , -73.96
FIXED for  Milton, Vale of White Horse 	 51.61688 , -1.30523 	 51.61688 , -1.30523
FIXED for  Milton, Vermont 	 44.6429788 , -73.1541311 	 44.6429788 , -73.1541311
FIXED for  Milton, Wisconsin 	 42.777777777778 , -88.955 	 42.777777777778 , -88.955
FIXED for  Mina, Iloilo 	 10.933333333333 , 122.58333333333 	 10.933333333333 , 122.58333333333
FIXED for  Mina, Nevada 	 38.390555555556 , -118.10861111111 	 38.390555555556 , -118.10861111111
FIXED for  Mina, Nuevo León 	 26.000555555556 , -100.53027777778 	 26.000555555556 , -100.53027777778
FIXED for  Minden 	 52.283333333333 , 8.9166666666667 	 52.283333333333 , 8.9166666666667
FIXED for  Minden, Louisiana 	 32.616666666667 , -93.283333333333 	 32.616666666667 , -93.283333333333
FIXED for  Minden, Nebraska 	 40.498055555556 , -98.951111111111 	 40.498055555556 , -98.951111111111
FIXED for  Minden, Nevada 	 38.95583 , -119.76917 	 38.95583 , -119.76917
FIXED for  Minden, New York 	 42.930833333333 , -74.673888888889 	 42.930833333333 , -74.673888888889
FIXED for  Minden, Queensland 	 -27.55 , 152.53333333333 	 -27.55 , 152.53333333333
FIXED for  Mineral County, Colorado 	 37.69 , -106.93 	 37.69 , -106.93
FIXED for  Mineral County, West Virginia 	 39.42 , -78.94 	 39.42 , -78.94
FIXED for  Minot, Maine 	 44.08563 , -70.32006 	 44.08563 , -70.32006
FIXED for  Minot, Massachusetts 	 42.2403 , -70.7619 	 42.2403 , -70.7619
FIXED for  Miramar, Florida 	 25.978888888889 , -80.2825 	 25.978888888889 , -80.2825
FIXED for  Miramar, Havana 	 23.12101667 , -82.42283611 	 23.12101667 , -82.42283611
FIXED for  Miramar, New Zealand 	 -41.3167 , 174.817 	 -41.3167 , 174.817
FIXED for  Miramar, Portugal 	 41.06666667 , -8.65 	 41.06666667 , -8.65
FIXED for  Miramar, San Diego 	 32.886388888889 , -117.15777777778 	 32.886388888889 , -117.15777777778
FIXED for  Miranda, California 	 40.234722222222 , -123.82361111111 	 40.234722222222 , -123.82361111111
FIXED for  Miranda, New South Wales 	 -34.03562 , 151.10276 	 -34.03562 , 151.10276
FIXED for  Mir, Belarus 	 53.45 , 26.466666666667 	 53.45 , 26.466666666667
FIXED for  Miri, Ahmednagar 	 19.28 , 74.84 	 19.28 , 74.84
FIXED for  Mirik 	 26.887 , 88.187 	 26.887 , 88.187
FIXED for  Mission, British Columbia 	 49.133694444444 , -122.31116666667 	 49.133694444444 , -122.31116666667
FIXED for  Mission, Calgary 	 51.0334 , -114.071 	 51.0334 , -114.071
FIXED for  Mission, Kansas 	 39.0256 , -94.6561 	 39.0256 , -94.6561
FIXED for  Mission, South Dakota 	 43.3067 , -100.656 	 43.3067 , -100.656
FIXED for  Mitchell, Cornwall 	 50.3524 , -5.0073 	 50.3524 , -5.0073
FIXED for  Mitchell, Indiana 	 38.733888888889 , -86.474444444444 	 38.733888888889 , -86.474444444444
FIXED for  Mitchell, Manitoba 	 49.5342 , -96.7619 	 49.5342 , -96.7619
FIXED for  Mitchell, Nebraska 	 41.941944444444 , -103.80944444444 	 41.941944444444 , -103.80944444444
FIXED for  Mitchell, Oregon 	 44.567222222222 , -120.15361111111 	 44.567222222222 , -120.15361111111
FIXED for  Mitchell, Queensland 	 -26.48305556 , 147.9661111 	 -26.48305556 , 147.9661111
FIXED for  Mitchell, South Dakota 	 43.713888888889 , -98.026388888889 	 43.713888888889 , -98.026388888889
FIXED for  Mithapur 	 22.41 , 69.0 	 22.41 , 69.0
FIXED for  Moba, Democratic Republic of the Congo 	 -7.067 , 29.717 	 -7.067 , 29.717
FIXED for  Mocha, Yemen 	 13.31666667 , 43.25 	 13.31666667 , 43.25
FIXED for  Moe, Victoria 	 -38.17489 , 146.26296 	 -38.17489 , 146.26296
FIXED for  Moga, Punjab 	 30.8 , 75.17 	 30.8 , 75.17
FIXED for  Mogo, New South Wales 	 -35.7833 , 150.133 	 -35.7833 , 150.133
FIXED for  Moira, County Down 	 54.48 , -6.232 	 54.48 , -6.232
FIXED for  Moira, Goa 	 15.59416667 , 73.84 	 15.59416667 , 73.84
FIXED for  Moira, Leicestershire 	 52.736 , -1.535 	 52.736 , -1.535
FIXED for  Moira, New York 	 44.818055555556 , -74.555833333333 	 44.818055555556 , -74.555833333333
FIXED for  Mojo, Ethiopia 	 8.65 , 39.0833 	 8.65 , 39.0833
FIXED for  Molina, Chile 	 -35.113055555556 , -71.305555555556 	 -35.113055555556 , -71.305555555556
FIXED for  Molo, Iloilo City 	 10.7 , 122.55 	 10.7 , 122.55
FIXED for  Molo, Kenya 	 -0.25 , 35.73333333 	 -0.25 , 35.73333333
FIXED for  Mona, Utah 	 39.81528 , -111.85611 	 39.81528 , -111.85611
FIXED for  Moncada, Tarlac 	 15.733333333333 , 120.56666666667 	 15.733333333333 , 120.56666666667
FIXED for  Monroe, Connecticut 	 41.336111111111 , -73.225833333333 	 41.336111111111 , -73.225833333333
FIXED for  Monroe County, Alabama 	 31.570833333333 , -87.369722222222 	 31.570833333333 , -87.369722222222
FIXED for  Monroe County, Arkansas 	 34.713333333333 , -91.222222222222 	 34.713333333333 , -91.222222222222
FIXED for  Monroe County, Florida 	 25.12 , -81.15 	 25.12 , -81.15
FIXED for  Monroe County, Illinois 	 38.28 , -90.18 	 38.28 , -90.18
FIXED for  Monroe County, Indiana 	 39.16 , -86.52 	 39.16 , -86.52
FIXED for  Monroe County, Kentucky 	 36.71 , -85.72 	 36.71 , -85.72
FIXED for  Monroe County, Michigan 	 41.92 , -83.5 	 41.92 , -83.5
FIXED for  Monroe County, Missouri 	 39.5 , -92.0 	 39.5 , -92.0
FIXED for  Monroe County, New York 	 43.3 , -77.69 	 43.3 , -77.69
FIXED for  Monroe County, Ohio 	 39.73 , -81.08 	 39.73 , -81.08
FIXED for  Monroe County, Pennsylvania 	 41.06 , -75.34 	 41.06 , -75.34
FIXED for  Monroe County, Tennessee 	 35.45 , -84.25 	 35.45 , -84.25
FIXED for  Monroe County, West Virginia 	 37.56 , -80.54 	 37.56 , -80.54
FIXED for  Monroe, Georgia 	 33.7933 , -83.7108 	 33.7933 , -83.7108
FIXED for  Monroe, Massachusetts 	 42.721944444444 , -72.941388888889 	 42.721944444444 , -72.941388888889
FIXED for  Monroe, Michigan 	 41.91638889 , -83.39777778 	 41.91638889 , -83.39777778
FIXED for  Monroe, New Hampshire 	 44.260277777778 , -72.054722222222 	 44.260277777778 , -72.054722222222
FIXED for  Monroe, New York 	 41.324 , -74.187 	 41.324 , -74.187
FIXED for  Monroe, North Carolina 	 34.988888888889 , -80.549722222222 	 34.988888888889 , -80.549722222222
FIXED for  Monroe, Ohio 	 39.4447 , -84.3642 	 39.4447 , -84.3642
FIXED for  Monroe, Oregon 	 44.316111111111 , -123.29972222222 	 44.316111111111 , -123.29972222222
FIXED for  Monroe, Pennsylvania 	 41.71258 , -76.47466 	 41.71258 , -76.47466
FIXED for  Monroe, Utah 	 38.629444444444 , -112.12027777778 	 38.629444444444 , -112.12027777778
FIXED for  Monroe, Washington 	 47.857777777778 , -121.98833333333 	 47.857777777778 , -121.98833333333
FIXED for  Monroe, Wisconsin 	 42.59889 , -89.64083 	 42.59889 , -89.64083
FIXED for  Montana 	 47.0 , -110.0 	 47.0 , -110.0
FIXED for  Montana, Bulgaria 	 43.407777777778 , 23.225 	 43.407777777778 , 23.225
FIXED for  Montebello, California 	 34.014444444444 , -118.11444444444 	 34.014444444444 , -118.11444444444
FIXED for  Montebello, New York 	 41.1275 , -74.1192 	 41.1275 , -74.1192
FIXED for  Monte Carmelo 	 -18.725 , -47.498888888889 	 -18.725 , -47.498888888889
FIXED for  Monte Cristo, Washington 	 47.9856 , -121.394 	 47.9856 , -121.394
FIXED for  Monte Grande 	 -34.816666666667 , -58.466666666667 	 -34.816666666667 , -58.466666666667
FIXED for  Monte Hermoso 	 -38.9839 , -61.2981 	 -38.9839 , -61.2981
FIXED for  Montenegro 	 42.766667 , 19.216667 	 42.766667 , 19.216667
FIXED for  Monte Negro, Oaxaca 	 17.591666666667 , -95.866111111111 	 17.591666666667 , -95.866111111111
FIXED for  Montenegro, Quindío 	 4.5652777777778 , -75.751111111111 	 4.5652777777778 , -75.751111111111
FIXED for  Montenegro, Rio Grande do Sul 	 -29.688888888889 , -51.460833333333 	 -29.688888888889 , -51.460833333333
FIXED for  Monterey, California 	 36.60024 , -121.89468 	 36.60024 , -121.89468
FIXED for  Monterey, Massachusetts 	 42.179166666667 , -73.2125 	 42.179166666667 , -73.2125
FIXED for  Monterey, New South Wales 	 -33.9738 , 151.148 	 -33.9738 , 151.148
FIXED for  Monterey, Pennsylvania 	 39.7381 , -77.4714 	 39.7381 , -77.4714
FIXED for  Monterey, Tennessee 	 36.145277777778 , -85.265833333333 	 36.145277777778 , -85.265833333333
FIXED for  Monterey, Virginia 	 38.41234 , -79.5806 	 38.41234 , -79.5806
FIXED for  Monterrey 	 25.671388888889 , -100.30861111111 	 25.671388888889 , -100.30861111111
FIXED for  Monteverde 	 10.3 , -84.8167 	 10.3 , -84.8167
FIXED for  Montevideo 	 -34.866944444444 , -56.166666666667 	 -34.866944444444 , -56.166666666667
FIXED for  Montevideo, Minnesota 	 44.9425 , -95.723611111111 	 44.9425 , -95.723611111111
FIXED for  Montgomery, Alabama 	 32.361666666667 , -86.279166666667 	 32.361666666667 , -86.279166666667
FIXED for  Montgomery, Calgary 	 51.0772 , -114.159 	 51.0772 , -114.159
FIXED for  Montgomery County, Alabama 	 32.219166666667 , -86.209444444444 	 32.219166666667 , -86.209444444444
FIXED for  Montgomery County, Arkansas 	 34.535555555556 , -93.664444444444 	 34.535555555556 , -93.664444444444
FIXED for  Montgomery County, Georgia 	 32.17 , -82.53 	 32.17 , -82.53
FIXED for  Montgomery County, Illinois 	 39.23 , -89.48 	 39.23 , -89.48
FIXED for  Montgomery County, Indiana 	 40.04 , -86.89 	 40.04 , -86.89
FIXED for  Montgomery County, Kansas 	 37.2 , -95.7333 	 37.2 , -95.7333
FIXED for  Montgomery County, Kentucky 	 38.03 , -83.91 	 38.03 , -83.91
FIXED for  Montgomery County, Maryland 	 39.13638 , -77.20424 	 39.13638 , -77.20424
FIXED for  Montgomery County, Mississippi 	 33.5 , -89.61 	 33.5 , -89.61
FIXED for  Montgomery County, Missouri 	 38.94 , -91.47 	 38.94 , -91.47
FIXED for  Montgomery County, New York 	 42.91 , -74.44 	 42.91 , -74.44
FIXED for  Montgomery County, North Carolina 	 35.33 , -79.9 	 35.33 , -79.9
FIXED for  Montgomery County, Ohio 	 39.75 , -84.29 	 39.75 , -84.29
FIXED for  Montgomery County, Pennsylvania 	 40.21 , -75.37 	 40.21 , -75.37
FIXED for  Montgomery County, Tennessee 	 36.5 , -87.38 	 36.5 , -87.38
FIXED for  Montgomery County, Texas 	 30.3 , -95.5 	 30.3 , -95.5
FIXED for  Montgomery, Georgia 	 31.9433 , -81.1067 	 31.9433 , -81.1067
FIXED for  Montgomery, Illinois 	 41.7189 , -88.3922 	 41.7189 , -88.3922
FIXED for  Montgomery, Louisiana 	 31.6661 , -92.8867 	 31.6661 , -92.8867
FIXED for  Montgomery, Massachusetts 	 42.20676 , -72.8051 	 42.20676 , -72.8051
FIXED for  Montgomery, Minnesota 	 44.440277777778 , -93.580555555556 	 44.440277777778 , -93.580555555556
FIXED for  Montgomery, New York 	 41.5256 , -74.2003 	 41.5256 , -74.2003
FIXED for  Montgomery, Ohio 	 39.2472 , -84.3475 	 39.2472 , -84.3475
FIXED for  Montgomery, Pennsylvania 	 41.17036 , -76.87691 	 41.17036 , -76.87691
FIXED for  Montgomery, Powys 	 52.5628 , -3.1493 	 52.5628 , -3.1493
FIXED for  Montgomery, Texas 	 30.389444444444 , -95.698055555556 	 30.389444444444 , -95.698055555556
FIXED for  Montgomery, Vermont 	 44.879166666667 , -72.611666666667 	 44.879166666667 , -72.611666666667
FIXED for  Montgomery, West Virginia 	 38.18 , -81.326666666667 	 38.18 , -81.326666666667
FIXED for  Montserrat 	 16.75 , -62.2 	 16.75 , -62.2
FIXED for  Moradabad 	 28.843236111111 , 78.728741666667 	 28.843236111111 , 78.728741666667
FIXED for  Morales, Guatemala 	 15.4725 , -88.841388888889 	 15.4725 , -88.841388888889
FIXED for  Mora, Minnesota 	 45.876944444444 , -93.293888888889 	 45.876944444444 , -93.293888888889
FIXED for  Mora, New Mexico 	 35.974166666667 , -105.33 	 35.974166666667 , -105.33
FIXED for  Mori, Hokkaido 	 42.105 , 140.57638888889 	 42.105 , 140.57638888889
FIXED for  Mori, Shizuoka 	 34.835555555556 , 137.92722222222 	 34.835555555556 , 137.92722222222
FIXED for  Mornington, Victoria 	 -38.228 , 145.062 	 -38.228 , 145.062
FIXED for  Moscow, Idaho 	 46.731666666667 , -116.99722222222 	 46.731666666667 , -116.99722222222
FIXED for  Moscow, Kansas 	 37.32363 , -101.20572 	 37.32363 , -101.20572
FIXED for  Moshi, Tanzania 	 -3.3348833333333 , 37.340380555556 	 -3.3348833333333 , 37.340380555556
FIXED for  Mosty, Świętokrzyskie Voivodeship 	 50.78181 , 20.40329 	 50.78181 , 20.40329
FIXED for  Mota, Ethiopia 	 11.0833 , 37.8667 	 11.0833 , 37.8667
FIXED for  Mota, Gujarat 	 21.09 , 73.01 	 21.09 , 73.01
FIXED for  Motala 	 58.544165323505 , 15.036873338646 	 58.544165323505 , 15.036873338646
FIXED for  Mountain View, Arkansas 	 35.865 , -92.108611111111 	 35.865 , -92.108611111111
